City,Country,Date,Humidity,Cloudiness,Lat,Lng,Max Temp,Wind Speed
aklavik,CA,2020-01-26 09:08:04,68.0,40.0,68.22,-135.01,-18.4,6.93
salinopolis,BR,2020-01-26 09:08:04,77.0,99.0,-0.61,-47.36,82.85,10.63
gizo,SB,2020-01-26 09:08:04,82.0,93.0,-8.1,156.84,77.32,4.54
cavalcante,BR,2020-01-26 09:08:04,96.0,100.0,-13.8,-47.46,65.75,7.4
brandon,US,2020-01-26 09:08:02,54.0,1.0,27.94,-82.29,61.0,3.36
umm kaddadah,SD,2020-01-26 09:08:05,10.0,21.0,13.6,26.69,74.52,17.16
punta alta,AR,2020-01-26 09:03:20,41.0,64.0,-38.88,-62.07,77.99,12.73
maebaru,JP,2020-01-26 09:08:05,70.0,100.0,33.55,130.2,48.99,11.41
bardiyah,LY,2020-01-26 09:08:05,50.0,100.0,31.76,25.09,60.84,5.84
xiaoyi,CN,2020-01-26 09:08:05,71.0,66.0,34.62,109.7,34.65,6.38
shahrud,IR,2020-01-26 09:08:05,62.0,0.0,36.42,54.98,22.32,2.33
yulara,AU,2020-01-26 09:08:05,13.0,0.0,-25.24,130.99,84.2,10.29
coquimbo,CL,2020-01-26 09:08:06,77.0,20.0,-29.95,-71.34,68.0,13.87
asyut,EG,2020-01-26 09:07:38,26.0,0.0,27.18,31.18,58.8,6.15
prince rupert,CA,2020-01-26 09:08:06,73.0,90.0,54.32,-130.32,42.8,2.24
champerico,GT,2020-01-26 09:08:06,74.0,20.0,14.3,-91.92,78.8,0.89
dillon,US,2020-01-26 09:03:27,65.0,1.0,34.42,-79.37,51.01,4.09
college,US,2020-01-26 09:08:06,72.0,33.0,64.86,-147.8,-16.01,3.69
pandan,PH,2020-01-26 09:08:06,81.0,100.0,14.05,124.17,80.85,6.67
tabas,IR,2020-01-26 09:08:07,49.0,0.0,33.6,56.92,46.4,4.7
norman wells,CA,2020-01-26 09:08:07,75.0,75.0,65.28,-126.83,-18.4,2.66
oktyabrskiy,RU,2020-01-26 09:08:07,93.0,80.0,54.48,53.47,15.57,8.86
